group,arm,world,round,action,mse,rmse,model_variance
core,h1,0,1,1,0.07511567577936519,0.27407239149422763,0.05734055844964277
core,h1,0,2,0,0.04591430553191598,0.21427623650772845,0.029792021999342826
core,h1,0,3,2,0.04301861835868722,0.20740930152403295,0.017455601965988946
core,h1,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,h1,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,h1,1,3,2,0.009856246356592505,0.099278629908921,0.005942891452067615
core,h1,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,h1,2,2,0,0.004669402340246434,0.06833302525314121,0.005639546270064338
core,h1,2,3,2,0.005919089393602186,0.07693561849756059,0.0053945228148474245
core,h1,3,1,1,0.0255018920178774,0.1596931182545992,0.047907160421765425
core,h1,3,2,0,0.04090333671427235,0.20224573348842825,0.01706046664009637
core,h1,3,3,3,0.031253386903138745,0.1767862746457958,0.020921099313559486
core,h1,4,1,1,0.0552545794932389,0.23506292666696485,0.029689328516425004
core,h1,4,2,2,0.012787362049277877,0.11308121881761744,0.015160753677098246
core,h1,4,3,3,0.007652991458987216,0.08748137778400164,0.010526045686828247
core,h1,5,1,1,0.0020476408753894565,0.04525086601811568,0.016017174542048
core,h1,5,2,2,0.0004996652555056445,0.022353193407333202,0.008112367331126587
core,h1,5,3,0,0.004151649369238436,0.06443329394993272,0.008630903710389682
core,h1,6,1,1,0.015086804171783093,0.12282835247524528,0.036240583397573356
core,h1,6,2,2,0.000346701436492815,0.018619920421226697,0.013336573199839986
core,h1,6,3,3,0.0011253931510525298,0.033546879900409964,0.009338991339421019
core,h1,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,h1,7,2,2,0.04844417453170877,0.22010037376549083,0.0039662615868920935
core,h1,7,3,3,0.052263167875501206,0.228611390520029,0.005053469213687436
core,h2,0,1,1,0.07511567577936519,0.27407239149422763,0.05734055844964277
core,h2,0,2,2,0.00766635238268387,0.08755770887068637,0.023193532153806463
core,h2,0,3,0,0.0025862745271657914,0.05085542770605505,0.0007141182166840224
core,h2,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,h2,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,h2,1,3,2,0.009856246356592505,0.099278629908921,0.005942891452067615
core,h2,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,h2,2,2,2,0.0007617661571905302,0.02760011154308131,0.004667116864634122
core,h2,2,3,0,0.0007635049954352914,0.0276315941529853,0.004217015812837589
core,h2,3,1,1,0.0255018920178774,0.1596931182545992,0.047907160421765425
core,h2,3,2,3,0.059581296645534756,0.24409280334646238,0.04693753446616668
core,h2,3,3,2,0.01421682691497469,0.11923433614095685,0.029117570480849935
core,h2,4,1,1,0.0552545794932389,0.23506292666696485,0.029689328516425004
core,h2,4,2,2,0.012787362049277877,0.11308121881761744,0.015160753677098246
core,h2,4,3,3,0.007652991458987216,0.08748137778400164,0.010526045686828247
core,h2,5,1,1,0.0020476408753894565,0.04525086601811568,0.016017174542048
core,h2,5,2,0,0.014988236734376065,0.12242645438946627,0.014578293459414044
core,h2,5,3,2,0.0008890225844030142,0.029816481757628854,0.004573759306242204
core,h2,6,1,1,0.015086804171783093,0.12282835247524528,0.036240583397573356
core,h2,6,2,2,0.000346701436492815,0.018619920421226697,0.013336573199839986
core,h2,6,3,3,0.0011253931510525298,0.033546879900409964,0.009338991339421019
core,h2,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,h2,7,2,3,0.04662583954799854,0.21593017285224067,9.971525188674305e-05
core,h2,7,3,2,0.04658737929281962,0.21584109732119974,1.3314858737615612e-06
core,h3,0,1,1,0.07511567577936519,0.27407239149422763,0.05734055844964277
core,h3,0,2,2,0.00766635238268387,0.08755770887068637,0.023193532153806463
core,h3,0,3,0,0.0025862745271657914,0.05085542770605505,0.0007141182166840224
core,h3,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,h3,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,h3,1,3,2,0.009856246356592505,0.099278629908921,0.005942891452067615
core,h3,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,h3,2,2,2,0.0007617661571905302,0.02760011154308131,0.004667116864634122
core,h3,2,3,0,0.0007635049954352914,0.0276315941529853,0.004217015812837589
core,h3,3,1,1,0.0255018920178774,0.1596931182545992,0.047907160421765425
core,h3,3,2,3,0.059581296645534756,0.24409280334646238,0.04693753446616668
core,h3,3,3,2,0.01421682691497469,0.11923433614095685,0.029117570480849935
core,h3,4,1,1,0.0552545794932389,0.23506292666696485,0.029689328516425004
core,h3,4,2,2,0.012787362049277877,0.11308121881761744,0.015160753677098246
core,h3,4,3,3,0.007652991458987216,0.08748137778400164,0.010526045686828247
core,h3,5,1,1,0.0020476408753894565,0.04525086601811568,0.016017174542048
core,h3,5,2,0,0.014988236734376065,0.12242645438946627,0.014578293459414044
core,h3,5,3,2,0.0008890225844030142,0.029816481757628854,0.004573759306242204
core,h3,6,1,1,0.015086804171783093,0.12282835247524528,0.036240583397573356
core,h3,6,2,2,0.000346701436492815,0.018619920421226697,0.013336573199839986
core,h3,6,3,3,0.0011253931510525298,0.033546879900409964,0.009338991339421019
core,h3,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,h3,7,2,3,0.04662583954799854,0.21593017285224067,9.971525188674305e-05
core,h3,7,3,2,0.04658737929281962,0.21584109732119974,1.3314858737615612e-06
core,open_loop_h3,0,1,1,0.07511567577936519,0.27407239149422763,0.05734055844964277
core,open_loop_h3,0,2,2,0.00766635238268387,0.08755770887068637,0.023193532153806463
core,open_loop_h3,0,3,0,0.0025862745271657914,0.05085542770605505,0.0007141182166840224
core,open_loop_h3,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,open_loop_h3,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,open_loop_h3,1,3,2,0.009856246356592505,0.099278629908921,0.005942891452067615
core,open_loop_h3,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,open_loop_h3,2,2,2,0.0007617661571905302,0.02760011154308131,0.004667116864634122
core,open_loop_h3,2,3,0,0.0007635049954352914,0.0276315941529853,0.004217015812837589
core,open_loop_h3,3,1,1,0.0255018920178774,0.1596931182545992,0.047907160421765425
core,open_loop_h3,3,2,3,0.059581296645534756,0.24409280334646238,0.04693753446616668
core,open_loop_h3,3,3,2,0.01421682691497469,0.11923433614095685,0.029117570480849935
core,open_loop_h3,4,1,1,0.0552545794932389,0.23506292666696485,0.029689328516425004
core,open_loop_h3,4,2,2,0.012787362049277877,0.11308121881761744,0.015160753677098246
core,open_loop_h3,4,3,3,0.007652991458987216,0.08748137778400164,0.010526045686828247
core,open_loop_h3,5,1,1,0.0020476408753894565,0.04525086601811568,0.016017174542048
core,open_loop_h3,5,2,2,0.0004996652555056445,0.022353193407333202,0.008112367331126587
core,open_loop_h3,5,3,0,0.004151649369238436,0.06443329394993272,0.008630903710389682
core,open_loop_h3,6,1,1,0.015086804171783093,0.12282835247524528,0.036240583397573356
core,open_loop_h3,6,2,2,0.000346701436492815,0.018619920421226697,0.013336573199839986
core,open_loop_h3,6,3,3,0.0011253931510525298,0.033546879900409964,0.009338991339421019
core,open_loop_h3,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,open_loop_h3,7,2,3,0.04662583954799854,0.21593017285224067,9.971525188674305e-05
core,open_loop_h3,7,3,2,0.04658737929281962,0.21584109732119974,1.3314858737615612e-06
core,refined_myopic,0,1,1,0.07511567577936519,0.27407239149422763,0.05734055844964277
core,refined_myopic,0,2,0,0.04591430553191598,0.21427623650772845,0.029792021999342826
core,refined_myopic,0,3,2,0.04301861835868722,0.20740930152403295,0.017455601965988946
core,refined_myopic,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,refined_myopic,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,refined_myopic,1,3,2,0.009856246356592505,0.099278629908921,0.005942891452067615
core,refined_myopic,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,refined_myopic,2,2,0,0.004669402340246434,0.06833302525314121,0.005639546270064338
core,refined_myopic,2,3,2,0.005919089393602186,0.07693561849756059,0.0053945228148474245
core,refined_myopic,3,1,1,0.0255018920178774,0.1596931182545992,0.047907160421765425
core,refined_myopic,3,2,0,0.04090333671427235,0.20224573348842825,0.01706046664009637
core,refined_myopic,3,3,3,0.031253386903138745,0.1767862746457958,0.020921099313559486
core,refined_myopic,4,1,1,0.0552545794932389,0.23506292666696485,0.029689328516425004
core,refined_myopic,4,2,2,0.012787362049277877,0.11308121881761744,0.015160753677098246
core,refined_myopic,4,3,3,0.007652991458987216,0.08748137778400164,0.010526045686828247
core,refined_myopic,5,1,1,0.0020476408753894565,0.04525086601811568,0.016017174542048
core,refined_myopic,5,2,2,0.0004996652555056445,0.022353193407333202,0.008112367331126587
core,refined_myopic,5,3,0,0.004151649369238436,0.06443329394993272,0.008630903710389682
core,refined_myopic,6,1,1,0.015086804171783093,0.12282835247524528,0.036240583397573356
core,refined_myopic,6,2,2,0.000346701436492815,0.018619920421226697,0.013336573199839986
core,refined_myopic,6,3,3,0.0011253931510525298,0.033546879900409964,0.009338991339421019
core,refined_myopic,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,refined_myopic,7,2,2,0.04844417453170877,0.22010037376549083,0.0039662615868920935
core,refined_myopic,7,3,3,0.052263167875501206,0.228611390520029,0.005053469213687436
core,random,0,1,0,0.0011111436889078238,0.033333821996702144,0.011882039216262017
core,random,0,2,2,0.0010114225032693362,0.03180286941880145,0.006883914499340997
core,random,0,3,3,0.0023733016895311466,0.04871654431023558,0.003566225226629586
core,random,1,1,1,0.008687677092320333,0.09320770940389177,0.011036347780384221
core,random,1,2,0,0.009798962253768261,0.09898970781736989,0.006500040979806627
core,random,1,3,3,0.007131949260171443,0.08445086891306354,0.006299158876718796
core,random,2,1,1,0.0035143973031031015,0.05928235237491088,0.0065447387459245145
core,random,2,2,2,0.0007617661571905302,0.02760011154308131,0.004667116864634122
core,random,2,3,3,0.00042171967149727996,0.020535814361677503,0.002920475400346444
core,random,3,1,3,0.1514095909557091,0.3891138534615661,0.12248173958793315
core,random,3,2,1,0.05186491141233601,0.22773869107452077,0.01468996094025921
core,random,3,3,0,0.0384473413033676,0.1960799360040889,0.010752460445249102
core,random,4,1,2,0.03748991374186536,0.19362312295246495,0.07875094139822142
core,random,4,2,0,0.0548499398350112,0.23420064012510983,0.07150565686052096
core,random,4,3,3,0.06441266831252446,0.25379650965394396,0.10880489066860284
core,random,5,1,3,0.022008281498922446,0.14835188404237556,0.08280946713112142
core,random,5,2,1,0.00554119365125955,0.07443919432167136,0.015712772878796653
core,random,5,3,0,0.0027562992772702574,0.05250046930523819,0.007233956293661033
core,random,6,1,0,0.24642961369874594,0.4964167741915516,0.11359971383710574
core,random,6,2,1,0.030305637347226175,0.1740851439590012,0.03475097852512739
core,random,6,3,3,0.02034697087406743,0.1426428087008505,0.0357455409476535
core,random,7,1,1,0.36918200007092805,0.6076034891859394,0.041148394446364533
core,random,7,2,3,0.04662583954799854,0.21593017285224067,9.971525188674305e-05
core,random,7,3,2,0.04658737929281962,0.21584109732119974,1.3314858737615612e-06
population_oracle,h1,0,1,1,0.1261211435771119,0.35513538767223957,0.0353294979565876
population_oracle,h1,0,2,0,0.08628502607102764,0.2937431294022511,0.0354818708637742
population_oracle,h1,0,3,2,0.09841522594102624,0.3137120111519899,0.026772536236195216
population_oracle,h1,1,1,1,0.004834434806373348,0.06953010000261288,0.012127367687474315
